accessory_count	enclosable	fragility	has_fixed_location	partner_node_available	requires_license	value_band	weight_class	tier	winning_row	precedence	all_matching_rows
none	true	robust	true	true	true	low	hand	4	R01	10	R01,R02,R07,R10
none	true	robust	true	true	true	low	two_person	4	R01	10	R01,R02,R07,R10
none	true	robust	true	true	true	low	machine_lift	4	R01	10	R01,R02,R07,R08
none	true	robust	true	true	true	mid	hand	4	R01	10	R01,R02,R07,R10
none	true	robust	true	true	true	mid	two_person	4	R01	10	R01,R02,R07,R10
none	true	robust	true	true	true	mid	machine_lift	4	R01	10	R01,R02,R07,R08
none	true	robust	true	true	true	high	hand	4	R01	10	R01,R02,R07,R10
none	true	robust	true	true	true	high	two_person	4	R01	10	R01,R02,R07,R10
none	true	robust	true	true	true	high	machine_lift	4	R01	10	R01,R02,R07,R08
none	true	robust	true	true	true	very_high	hand	4	R01	10	R01,R02,R04,R07,R10
none	true	robust	true	true	true	very_high	two_person	4	R01	10	R01,R02,R04,R07,R10
none	true	robust	true	true	true	very_high	machine_lift	4	R01	10	R01,R02,R04,R07,R08
none	true	robust	true	true	false	low	hand	5	R02	20	R02,R07,R10
none	true	robust	true	true	false	low	two_person	5	R02	20	R02,R07,R10
none	true	robust	true	true	false	low	machine_lift	5	R02	20	R02,R07,R08
none	true	robust	true	true	false	mid	hand	5	R02	20	R02,R07,R10
none	true	robust	true	true	false	mid	two_person	5	R02	20	R02,R07,R10
none	true	robust	true	true	false	mid	machine_lift	5	R02	20	R02,R07,R08
none	true	robust	true	true	false	high	hand	5	R02	20	R02,R07,R10
none	true	robust	true	true	false	high	two_person	5	R02	20	R02,R07,R10
none	true	robust	true	true	false	high	machine_lift	5	R02	20	R02,R07,R08
none	true	robust	true	true	false	very_high	hand	5	R02	20	R02,R04,R07,R10
none	true	robust	true	true	false	very_high	two_person	5	R02	20	R02,R04,R07,R10
none	true	robust	true	true	false	very_high	machine_lift	5	R02	20	R02,R04,R07,R08
none	true	robust	true	false	true	low	hand	4	R01	10	R01,R07,R10
none	true	robust	true	false	true	low	two_person	4	R01	10	R01,R07,R10
none	true	robust	true	false	true	low	machine_lift	4	R01	10	R01,R07,R08
none	true	robust	true	false	true	mid	hand	4	R01	10	R01,R07,R10
none	true	robust	true	false	true	mid	two_person	4	R01	10	R01,R07,R10
none	true	robust	true	false	true	mid	machine_lift	4	R01	10	R01,R07,R08
none	true	robust	true	false	true	high	hand	4	R01	10	R01,R07,R10
none	true	robust	true	false	true	high	two_person	4	R01	10	R01,R07,R10
none	true	robust	true	false	true	high	machine_lift	4	R01	10	R01,R07,R08
none	true	robust	true	false	true	very_high	hand	4	R01	10	R01,R04,R07,R10
none	true	robust	true	false	true	very_high	two_person	4	R01	10	R01,R04,R07,R10
none	true	robust	true	false	true	very_high	machine_lift	4	R01	10	R01,R04,R07,R08
none	true	robust	true	false	false	low	hand	2	R07	70	R07,R10
none	true	robust	true	false	false	low	two_person	2	R07	70	R07,R10
none	true	robust	true	false	false	low	machine_lift	2	R07	70	R07,R08
none	true	robust	true	false	false	mid	hand	2	R07	70	R07,R10
none	true	robust	true	false	false	mid	two_person	2	R07	70	R07,R10
none	true	robust	true	false	false	mid	machine_lift	2	R07	70	R07,R08
none	true	robust	true	false	false	high	hand	2	R07	70	R07,R10
none	true	robust	true	false	false	high	two_person	2	R07	70	R07,R10
none	true	robust	true	false	false	high	machine_lift	2	R07	70	R07,R08
none	true	robust	true	false	false	very_high	hand	3	R04	40	R04,R07,R10
none	true	robust	true	false	false	very_high	two_person	3	R04	40	R04,R07,R10
none	true	robust	true	false	false	very_high	machine_lift	3	R04	40	R04,R07,R08
none	true	robust	false	true	true	low	hand	4	R01	10	R01,R02,R10
none	true	robust	false	true	true	low	two_person	4	R01	10	R01,R02,R10
none	true	robust	false	true	true	low	machine_lift	4	R01	10	R01,R02,R08
none	true	robust	false	true	true	mid	hand	4	R01	10	R01,R02,R10
none	true	robust	false	true	true	mid	two_person	4	R01	10	R01,R02,R10
none	true	robust	false	true	true	mid	machine_lift	4	R01	10	R01,R02,R08
none	true	robust	false	true	true	high	hand	4	R01	10	R01,R02,R10
none	true	robust	false	true	true	high	two_person	4	R01	10	R01,R02,R10
none	true	robust	false	true	true	high	machine_lift	4	R01	10	R01,R02,R08
none	true	robust	false	true	true	very_high	hand	4	R01	10	R01,R02,R04,R10
none	true	robust	false	true	true	very_high	two_person	4	R01	10	R01,R02,R04,R10
none	true	robust	false	true	true	very_high	machine_lift	4	R01	10	R01,R02,R04,R08
none	true	robust	false	true	false	low	hand	5	R02	20	R02,R10
none	true	robust	false	true	false	low	two_person	5	R02	20	R02,R10
none	true	robust	false	true	false	low	machine_lift	5	R02	20	R02,R08
none	true	robust	false	true	false	mid	hand	5	R02	20	R02,R10
none	true	robust	false	true	false	mid	two_person	5	R02	20	R02,R10
none	true	robust	false	true	false	mid	machine_lift	5	R02	20	R02,R08
none	true	robust	false	true	false	high	hand	5	R02	20	R02,R10
none	true	robust	false	true	false	high	two_person	5	R02	20	R02,R10
none	true	robust	false	true	false	high	machine_lift	5	R02	20	R02,R08
none	true	robust	false	true	false	very_high	hand	5	R02	20	R02,R04,R10
none	true	robust	false	true	false	very_high	two_person	5	R02	20	R02,R04,R10
none	true	robust	false	true	false	very_high	machine_lift	5	R02	20	R02,R04,R08
none	true	robust	false	false	true	low	hand	4	R01	10	R01,R10
none	true	robust	false	false	true	low	two_person	4	R01	10	R01,R10
none	true	robust	false	false	true	low	machine_lift	4	R01	10	R01,R08
none	true	robust	false	false	true	mid	hand	4	R01	10	R01,R10
none	true	robust	false	false	true	mid	two_person	4	R01	10	R01,R10
